date,TP5Y,TP10Y,TP15Y,TP25Y
2012-12-31,-514.9694219124283,-579.2708811861853,-567.9965458661023,-582.5924857041343
2013-03-31,-514.7458063256047,-579.2476648995442,-567.8418839987453,-582.3603843730041
2013-06-30,-514.5202972916195,-578.9419423440105,-567.6204208653942,-582.1489955642093
2013-09-30,-514.494029113624,-578.9624101891226,-567.5803471104936,-582.0670584386044
2013-12-31,-514.4916604539193,-578.8552764652707,-567.5559572139553,-582.1296989691683
2014-03-31,-514.6881817507574,-579.2010345359014,-567.9426558993424,-582.2062136933704
2014-06-30,-515.0582118224617,-579.673380571721,-568.417338546628,-582.6106645738394
2014-09-30,-515.25295585175,-579.9888721700751,-568.706216565248,-583.2890819303967
2014-12-31,-515.3883895280994,-580.4399964983726,-569.2766339978458,-583.7114652274147
2015-03-31,-515.577565579648,-580.7966106598656,-570.0066403527592,-584.6260452258532
2015-06-30,-515.2676931429646,-580.0835686039289,-568.9571062154401,-583.4234709036257
2015-09-30,-515.45077050545,-580.3809075156279,-569.2726858512951,-583.7057590608136
2015-12-31,-515.4843896260268,-580.2778792055037,-569.2007415593856,-583.5296344284085
2016-03-31,-515.256399417475,-580.8980073310739,-569.9379457830574,-584.268117468612
2016-06-30,-515.4140543098272,-581.0823775769835,-570.2836281485281,-584.5890991728565
2016-09-30,-515.4650953167588,-581.1553889152035,-570.3103706967714,-584.5276056251114
2016-12-31,-515.4971787602329,-580.5831081220381,-569.6747317933651,-583.8766488384832
2017-03-31,-515.4677153760406,-580.315741505394,-569.3142778166201,-583.7114572780623
2017-06-30,-515.3545160456891,-580.4696605002973,-569.5522733341223,-583.9524973187881
2017-09-30,-515.5482432834103,-580.5178395702962,-569.5646510143854,-583.9690016565253
2017-12-31,-515.3508369057869,-580.5056741735268,-569.6987167638688,-584.0978891876719
2018-03-31,-515.3426687922349,-580.5719748079536,-569.6194369164359,-584.2679916650726
2018-06-30,-515.5548589017341,-580.6015997436315,-569.6759792580275,-584.1006078138466
2018-09-30,-515.4496315860705,-580.4815183080157,-569.5391621853389,-583.9701693037518
2018-12-31,-515.5290791641075,-580.5636952682657,-569.5857739679499,-584.0175655935318
2019-03-31,-515.3243651544553,-580.9802215762137,-570.0618448000963,-584.3890567534208
2019-06-30,-515.3135031290059,-580.9326182425325,-570.4537538383757,-584.8404315280804
2019-09-30,-515.5797837875317,-581.2595495446823,-570.8354499692042,-585.231097209497
2019-12-31,-515.4811046529476,-581.1575121761371,-570.4243128086888,-584.8056877657275
2020-03-31,-515.3551075692382,-580.9851584866304,-570.5157377688879,-584.9227596399395
2020-06-30,-515.5182712485646,-581.1869007546501,-570.7490180488618,-585.1475538547015
2020-09-30,-515.472346999788,-581.0987150532128,-570.6538085546456,-585.3509854765466
2020-12-31,-515.5459849650604,-581.1935034783544,-570.7647948067739,-585.4378575282067
2021-03-31,-515.3638334552217,-580.9858408668522,-570.5181238809753,-585.0037602627162
2021-06-30,-515.4788930855382,-581.1481006238502,-570.387578150609,-584.8920044357576
2021-09-30,-515.461883297776,-581.1256535892754,-570.3792470178962,-584.8978146737151
2021-12-31,-515.4398687895938,-581.0954599398968,-570.3291212896003,-584.8815044251369
2022-03-31,-515.1097249327242,-580.3306666310348,-569.6128769270452,-584.2535635908987
2022-06-30,-514.4848699929751,-579.4112774452929,-568.3967308679962,-583.1341911227461
2022-09-30,-513.9388678790435,-578.7754537025415,-567.5772495844601,-582.6891840050823
2022-12-31,-513.5473134643366,-578.5010768788923,-567.3007590632045,-582.3522182232572
2023-03-31,-513.8116429483385,-578.8134915156589,-567.539948751217,-582.4952745347825
2023-06-30,-513.7183153220085,-578.7567885979652,-567.5928818076954,-582.4928963664667
2023-09-30,-513.5094374505624,-578.300878497917,-566.9968109405993,-581.8500396528624
2023-12-31,-514.20453387985,-579.0396504920305,-567.9153958079862,-582.6414252771901
2024-03-31,-513.8971497424958,-578.8557357148884,-567.7115482818555,-582.4997361510897
2024-06-30,-513.5849384848921,-578.3828959157958,-567.2480408140293,-582.0396288368128
2024-09-30,-513.9121077446686,-578.6495270548414,-567.491366315986,-582.1533029760548
2024-12-31,-513.6976793252568,-578.3779273730984,-567.2653807870112,-582.0066234385116
2025-03-31,-513.6306068842885,-578.0819232230823,-566.9162991524454,-581.6027149907603
2025-06-30,-513.7094701876673,-578.2420463549316,-566.8700195067668,-581.5394070027925
2025-09-30,-513.4398307033842,-577.9732270103887,-566.60852352954,-581.1884986300596
2025-12-31,-513.4321452816856,-577.9719845629947,-566.5133329501763,-581.0335992879989
2026-03-31,-513.2979469973737,-577.863275068449,-566.4200803287843,-581.1097109339382
